case_id,step,timestamp,actor,duration_minutes,cost
TICKET_0,Created,2026-02-03T14:32:22.983040,system,3,0.15
TICKET_0,Assigned,2026-02-03T14:36:22.983040,system,4,0.2
TICKET_0,In_Progress,2026-02-03T16:33:22.983040,agent_1,117,35.1
TICKET_0,Closed,2026-02-03T16:34:22.983040,system,1,0.05
TICKET_1,Created,2026-02-03T14:34:22.983141,system,5,0.25
TICKET_1,Assigned,2026-02-03T14:42:22.983141,system,8,0.1
TICKET_1,In_Progress,2026-02-03T16:12:22.983141,agent_1,90,27.0
TICKET_1,Approved,2026-02-03T19:18:22.983141,manager,186,223.2
TICKET_1,Closed,2026-02-03T19:21:22.983141,system,3,0.15
TICKET_2,Created,2026-02-03T14:30:22.983209,system,1,0.05
TICKET_2,Assigned,2026-02-03T14:35:22.983209,system,5,0.25
TICKET_2,In_Progress,2026-02-03T15:22:22.983209,agent_1,47,14.1
TICKET_2,Closed,2026-02-03T15:23:22.983209,system,1,0.05
TICKET_3,Created,2026-02-03T14:30:22.983258,system,1,0.05
TICKET_3,Assigned,2026-02-03T14:32:22.983258,system,2,0.1
TICKET_3,In_Progress,2026-02-03T17:10:22.983258,agent_2,158,94.8
TICKET_3,Closed,2026-02-03T17:11:22.983258,system,1,0.05
TICKET_4,Created,2026-02-03T14:32:22.983307,system,3,0.15
TICKET_4,Assigned,2026-02-03T14:35:22.983307,system,3,0.15
TICKET_4,In_Progress,2026-02-03T15:48:22.983307,agent_1,73,21.9
TICKET_4,Escalated,2026-02-03T20:12:22.983307,agent_2,264,158.4
TICKET_4,In_Progress,2026-02-03T20:43:22.983307,agent_2,31,18.6
TICKET_4,Escalated,2026-02-04T01:03:22.983307,agent_2,260,156.0
TICKET_4,Approved,2026-02-04T07:54:22.983307,manager,411,164.4
TICKET_4,Closed,2026-02-04T07:55:22.983307,system,1,0.05
TICKET_5,Created,2026-02-03T14:32:22.983406,system,3,0.15
TICKET_5,Assigned,2026-02-03T14:34:22.983406,system,2,0.1
TICKET_5,In_Progress,2026-02-03T15:37:22.983406,agent_1,63,18.9
TICKET_5,Escalated,2026-02-03T17:33:22.983406,agent_2,116,69.6
TICKET_5,Approved,2026-02-07T08:09:22.983406,manager,5196,519.6
TICKET_5,Closed,2026-02-07T08:11:22.983406,system,2,0.1
TICKET_6,Created,2026-02-03T14:31:22.983480,system,2,0.1
TICKET_6,Assigned,2026-02-03T14:35:22.983480,system,4,0.2
TICKET_6,In_Progress,2026-02-03T16:01:22.983480,agent_1,86,25.8
TICKET_6,Approved,2026-02-03T19:26:22.983480,manager,205,246.0
TICKET_6,Closed,2026-02-03T19:29:22.983480,system,3,0.15
TICKET_7,Created,2026-02-03T14:34:22.983540,system,5,0.25
TICKET_7,Assigned,2026-02-03T14:38:22.983540,system,4,0.2
TICKET_7,In_Progress,2026-02-03T15:21:22.983540,agent_1,43,12.9
TICKET_7,Approved,2026-02-03T19:29:22.983540,manager,248,297.6
TICKET_7,Closed,2026-02-03T19:32:22.983540,system,3,0.15
TICKET_8,Created,2026-02-03T14:32:22.983614,system,3,0.15
TICKET_8,Assigned,2026-02-03T14:40:22.983614,system,8,0.2
TICKET_8,In_Progress,2026-02-03T16:00:22.983614,agent_2,80,48.0
TICKET_8,Closed,2026-02-03T16:02:22.983614,system,2,0.1
